channel_name,message_id,image_path,detected_class,confidence_score,image_category
lobelia4cosmetics,26310,data/raw/images/lobelia4cosmetics/26310.jpg,book,0.2519,product_display
lobelia4cosmetics,26311,data/raw/images/lobelia4cosmetics/26311.jpg,book,0.3516,product_display
lobelia4cosmetics,26312,data/raw/images/lobelia4cosmetics/26312.jpg,bottle,0.7881,product_display
lobelia4cosmetics,26312,data/raw/images/lobelia4cosmetics/26312.jpg,bottle,0.5554,product_display
lobelia4cosmetics,26312,data/raw/images/lobelia4cosmetics/26312.jpg,bottle,0.3785,product_display
lobelia4cosmetics,26312,data/raw/images/lobelia4cosmetics/26312.jpg,bottle,0.3652,product_display
lobelia4cosmetics,26312,data/raw/images/lobelia4cosmetics/26312.jpg,bottle,0.3564,product_display
lobelia4cosmetics,26312,data/raw/images/lobelia4cosmetics/26312.jpg,bottle,0.3383,product_display
lobelia4cosmetics,26312,data/raw/images/lobelia4cosmetics/26312.jpg,bottle,0.3041,product_display
lobelia4cosmetics,26312,data/raw/images/lobelia4cosmetics/26312.jpg,bottle,0.2988,product_display
lobelia4cosmetics,26313,data/raw/images/lobelia4cosmetics/26313.jpg,,,other
lobelia4cosmetics,26314,data/raw/images/lobelia4cosmetics/26314.jpg,,,other
lobelia4cosmetics,26315,data/raw/images/lobelia4cosmetics/26315.jpg,,,other
lobelia4cosmetics,26316,data/raw/images/lobelia4cosmetics/26316.jpg,bottle,0.6768,product_display
lobelia4cosmetics,26317,data/raw/images/lobelia4cosmetics/26317.jpg,,,other
lobelia4cosmetics,26318,data/raw/images/lobelia4cosmetics/26318.jpg,,,other
lobelia4cosmetics,26319,data/raw/images/lobelia4cosmetics/26319.jpg,,,other
lobelia4cosmetics,26320,data/raw/images/lobelia4cosmetics/26320.jpg,bottle,0.2725,product_display
lobelia4cosmetics,26321,data/raw/images/lobelia4cosmetics/26321.jpg,bottle,0.7189,product_display
lobelia4cosmetics,26321,data/raw/images/lobelia4cosmetics/26321.jpg,dining table,0.4859,product_display
lobelia4cosmetics,26321,data/raw/images/lobelia4cosmetics/26321.jpg,cup,0.3462,product_display
lobelia4cosmetics,26321,data/raw/images/lobelia4cosmetics/26321.jpg,book,0.2678,product_display
lobelia4cosmetics,26322,data/raw/images/lobelia4cosmetics/26322.jpg,cup,0.354,product_display
lobelia4cosmetics,26323,data/raw/images/lobelia4cosmetics/26323.jpg,,,other
lobelia4cosmetics,26324,data/raw/images/lobelia4cosmetics/26324.jpg,cup,0.7179,product_display
lobelia4cosmetics,26324,data/raw/images/lobelia4cosmetics/26324.jpg,cup,0.3851,product_display
lobelia4cosmetics,26324,data/raw/images/lobelia4cosmetics/26324.jpg,book,0.294,product_display
lobelia4cosmetics,26325,data/raw/images/lobelia4cosmetics/26325.jpg,bottle,0.8124,product_display
lobelia4cosmetics,26326,data/raw/images/lobelia4cosmetics/26326.jpg,bottle,0.4823,product_display
lobelia4cosmetics,26326,data/raw/images/lobelia4cosmetics/26326.jpg,bottle,0.4725,product_display
lobelia4cosmetics,26326,data/raw/images/lobelia4cosmetics/26326.jpg,bottle,0.4318,product_display
